,ID
nop,1
move,2
move/from16,3
move/16,4
move-wide,5
move-wide/from16,6
move-wide/16,7
move-object,8
move-object/from16,9
move-object/16,10
move-result,11
move-result-wide,12
move-result-object,13
move-exception,14
return-void,15
return,16
return-wide,17
return-object,18
const/4,19
const/16,20
const,21
const/high16,22
const-wide/16,23
const-wide/32,24
const-wide,25
const-wide/high16,26
const-string,27
const-string-jumbo,28
const-class,29
monitor-enter,30
monitor-exit,31
check-cast,32
instance-of,33
array-length,34
new-instance,35
new-array,36
filled-new-array,37
filled-new-array-range,38
fill-array-data,39
throw,40
goto,41
goto/16,42
goto/32,43
packed-switch,44
sparse-switch,45
cmpl-float,46
cmpg-float,47
cmpl-double,48
cmpg-double,49
cmp-long,50
if-eq,51
if-ne,52
if-lt,53
if-ge,54
if-gt,55
if-le,56
if-eqz,57
if-nez,58
if-ltz,59
if-gez,60
if-gtz,61
if-lez,62
aget,63
aget-wide,64
aget-object,65
aget-boolean,66
aget-byte,67
aget-char,68
aget-short,69
aput,70
aput-wide,71
aput-object,72
aput-boolean,73
aput-byte,74
aput-char,75
aput-short,76
iget,77
iget-wide,78
iget-object,79
iget-boolean,80
iget-byte,81
iget-char,82
iget-short,83
iput,84
iput-wide,85
iput-object,86
iput-boolean,87
iput-byte,88
iput-char,89
iput-short,90
sget,91
sget-wide,92
sget-object,93
sget-boolean,94
sget-byte,95
sget-char,96
sget-short,97
sput,98
sput-wide,99
sput-object,100
sput-boolean,101
sput-byte,102
sput-char,103
sput-short,104
invoke-virtual,105
invoke-super,106
invoke-direct,107
invoke-static,108
invoke-interface,109
invoke-virtual/range,110
invoke-super/range,111
invoke-direct/range,112
invoke-static/range,113
invoke-interface-range,114
neg-int,115
not-int,116
neg-long,117
not-long,118
neg-float,119
neg-double,120
int-to-long,121
int-to-float,122
int-to-double,123
long-to-int,124
long-to-float,125
long-to-double,126
float-to-int,127
float-to-long,128
float-to-double,129
double-to-int,130
double-to-long,131
double-to-float,132
int-to-byte,133
int-to-char,134
int-to-short,135
add-int,136
sub-int,137
mul-int,138
div-int,139
rem-int,140
and-int,141
or-int,142
xor-int,143
shl-int,144
shr-int,145
ushr-int,146
add-long,147
sub-long,148
mul-long,149
div-long,150
rem-long,151
and-long,152
or-long,153
xor-long,154
shl-long,155
shr-long,156
ushr-long,157
add-float,158
sub-float,159
mul-float,160
div-float,161
rem-float,162
add-double,163
sub-double,164
mul-double,165
div-double,166
rem-double,167
add-int/2addr,168
sub-int/2addr,169
mul-int/2addr,170
div-int/2addr,171
rem-int/2addr,172
and-int/2addr,173
or-int/2addr,174
xor-int/2addr,175
shl-int/2addr,176
shr-int/2addr,177
ushr-int/2addr,178
add-long/2addr,179
sub-long/2addr,180
mul-long/2addr,181
div-long/2addr,182
rem-long/2addr,183
and-long/2addr,184
or-long/2addr,185
xor-long/2addr,186
shl-long/2addr,187
shr-long/2addr,188
ushr-long/2addr,189
add-float/2addr,190
sub-float/2addr,191
mul-float/2addr,192
div-float/2addr,193
rem-float/2addr,194
add-double/2addr,195
sub-double/2addr,196
mul-double/2addr,197
div-double/2addr,198
rem-double/2addr,199
add-int/lit16,200
sub-int/lit16,201
mul-int/lit16,202
div-int/lit16,203
rem-int/lit16,204
and-int/lit16,205
or-int/lit16,206
xor-int/lit16,207
add-int/lit8,208
sub-int/lit8,209
mul-int/lit8,210
div-int/lit8,211
rem-int/lit8,212
and-int/lit8,213
or-int/lit8,214
xor-int/lit8,215
shl-int/lit8,216
shr-int/lit8,217
ushr-int/lit8,218
execute-inline,219
invoke-direct-empty,220
iget-quick,221
iget-wide-quick,222
iget-object-quick,223
iput-quick,224
iput-wide-quick,225
iput-object-quick,226
invoke-virtual-quick,227
invoke-virtual-quick/range,228
invoke-super-quick,229
invoke-super-quick/range,230
